         ps       /tb_rv32im_soc/DUT/pc  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_we_o                /tb_rv32im_soc/DUT/U_SDRAM/state  /tb_rv32im_soc/sdram_addr                         
          delta         /tb_rv32im_soc/DUT/instr  /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_adr_o               /tb_rv32im_soc/sdram_cs_n       /tb_rv32im_soc/sdram_dq                    
           /tb_rv32im_soc/DUT/U_CPU/bus_stall_wire         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_o       /tb_rv32im_soc/sdram_ras_n                                                
          /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_cyc_o         /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_ack_i       /tb_rv32im_soc/sdram_cas_n                                              
            /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_stb_o                /tb_rv32im_soc/DUT/U_INTERCONNECT/s1_dat_i  /tb_rv32im_soc/sdram_we_n                                           
          0  +0            32'hXXXXXXXX ******** U U U                           U ********* ******** U ********      ST_BOOT_WAIT U U U  U           12'hXXX **** 
    1290000  +4            32'h00000170 ******** 1 0 0                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1290000  +5            32'h00000170 ******** 1 1 1                           0 ********* ******** 0 ********      ST_WRITE_REC 0 1 1  1           12'h008 **** 
    1310000  +2            32'h00000170 ******** 1 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h008 **** 
    1310000  +4            32'h00000170 ******** 0 1 1                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h008 **** 
    1310000  +5            32'h00000170 ******** 0 0 0                           0 ********* ******** 1 ********      ST_PRECHARGE 0 1 1  1           12'h008 **** 
    1330000  +2            32'h00000170 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h408 **** 
    1330000  +4            32'h00000174 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h408 **** 
    1330000  +5            32'h00000174 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 0 1  0           12'h408 **** 
    1350000  +2            32'h00000174 ******** 0 0 0                           0 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h408 **** 
    1350000  +4            32'h00000178 ******** 1 0 0                           1 ********* ******** 0 ********           ST_IDLE 0 1 1  1           12'h408 **** 
